#Solar model
#
#Data taken from the following work:
#	Saclay Solar Seismic model. For further information:
#	"Solar Neutrino Emission Deduced from a Seismic Model", Turck-Chieze et al., 
#	ApJ, 555:L69-L73, 2001 July 1
#Gravitational potential calculted from Poisson law
# Phi = -GM/R PhiBar with PhiBar the normalized potential shown here
#
#Radius [in solar radius]	Temperature [keV]	Normalized gravitational potential [no unit]
0	1.35633	5.00141
0.00726965	1.35474	5.00848
0.0102893	1.35314	5.00555
0.012612	1.35155	5.00266
0.0145751	1.34996	4.99978
0.0163088	1.34838	4.9969
0.0178801	1.34679	4.99402
0.0193285	1.3452	4.99114
0.02068	1.34362	4.98826
0.0219524	1.34203	4.98537
0.0231587	1.34045	4.98248
0.0243089	1.33887	4.9796
0.0254106	1.33729	4.9767
0.0264697	1.33571	4.97381
0.0274913	1.33414	4.97092
0.0284794	1.33256	4.96802
0.0294373	1.33099	4.96512
0.0303679	1.32942	4.96222
0.0312737	1.32785	4.95932
0.0321567	1.32628	4.95641
0.0330187	1.32471	4.95351
0.0338615	1.32314	4.9506
0.0346864	1.32158	4.94769
0.0354946	1.32002	4.94478
0.0362873	1.31846	4.94186
0.0370654	1.31689	4.93895
0.0378298	1.31534	4.93603
0.0385815	1.31378	4.93311
0.039321	1.31222	4.93018
0.0400491	1.31067	4.92726
0.0407664	1.30912	4.92433
0.0414735	1.30756	4.92141
0.0421709	1.30601	4.91847
0.0428589	1.30447	4.91554
0.0435382	1.30292	4.91261
0.0442091	1.30137	4.90968
0.044872	1.29983	4.90674
0.0455272	1.29829	4.9038
0.046175	1.29675	4.90086
0.0468158	1.29521	4.89792
0.0474499	1.29367	4.89497
0.0480775	1.29213	4.89202
0.0486988	1.2906	4.88908
0.0493142	1.28906	4.88613
0.0499238	1.28753	4.88317
0.0505278	1.286	4.88022
0.0511265	1.28447	4.87727
0.05172	1.28294	4.87431
0.0523085	1.28142	4.87135
0.0528922	1.27989	4.86839
0.0534713	1.27837	4.86543
0.0540458	1.27685	4.86247
0.0546159	1.27533	4.8595
0.0551818	1.27381	4.85654
0.0557437	1.27229	4.85357
0.0563015	1.27077	4.8506
0.0568555	1.26926	4.84763
0.0574057	1.26775	4.84466
0.0579523	1.26624	4.84168
0.0584954	1.26473	4.8387
0.0590351	1.26322	4.83573
0.0595714	1.26172	4.83275
0.0601044	1.26021	4.82977
0.0606343	1.25871	4.82678
0.0611611	1.25721	4.8238
0.061685	1.25571	4.82081
0.0622059	1.25421	4.81783
0.0627239	1.25272	4.81484
0.0632392	1.25122	4.81185
0.0637518	1.24973	4.80886
0.0642618	1.24824	4.80587
0.0647691	1.24674	4.80287
0.065274	1.24526	4.79988
0.0657764	1.24377	4.79688
0.0662764	1.24228	4.79388
0.0667741	1.2408	4.79088
0.0672695	1.23931	4.78788
0.0677627	1.23783	4.78488
0.0682536	1.23635	4.78187
0.0687425	1.23487	4.77887
0.0692292	1.23339	4.77586
0.0697139	1.23192	4.77285
0.0701966	1.23044	4.76984
0.0706774	1.22897	4.76683
0.0711562	1.2275	4.76382
0.0716332	1.22603	4.7608
0.0721083	1.22456	4.75779
0.0725816	1.22309	4.75477
0.0730532	1.22162	4.75175
0.073523	1.22016	4.74873
0.0739911	1.2187	4.74571
0.0744576	1.21723	4.74269
0.0749225	1.21577	4.73967
0.0753857	1.21431	4.73665
0.0758474	1.21286	4.73362
0.0763076	1.2114	4.73059
0.0767662	1.20994	4.72757
0.0772234	1.20849	4.72454
0.0776791	1.20704	4.72151
0.0781334	1.20559	4.71847
0.0785863	1.20414	4.71544
0.0790378	1.20269	4.71241
0.079488	1.20124	4.70937
0.0799368	1.1998	4.70634
0.0803844	1.19835	4.7033
0.0808307	1.19691	4.70026
0.0812757	1.19547	4.69722
0.0817195	1.19403	4.69418
0.0821621	1.19259	4.69114
0.0826034	1.19116	4.68809
0.0830437	1.18972	4.68505
0.0834828	1.18828	4.682
0.0839207	1.18685	4.67896
0.0843575	1.18542	4.67591
0.0847933	1.18399	4.67286
0.085228	1.18256	4.66981
0.0856616	1.18113	4.66676
0.0860942	1.17971	4.66371
0.0865257	1.17828	4.66065
0.0869563	1.17686	4.6576
0.0873858	1.17544	4.65454
0.0878144	1.17401	4.65149
0.0882421	1.17259	4.64843
0.0886688	1.17118	4.64537
0.0890945	1.16976	4.64231
0.0895194	1.16834	4.63925
0.0899434	1.16693	4.63619
0.0903664	1.16552	4.63313
0.0907886	1.16411	4.63006
0.09121	1.16269	4.627
0.0916305	1.16129	4.62393
0.0920502	1.15988	4.62087
0.092469	1.15847	4.6178
0.0928871	1.15707	4.61473
0.0933044	1.15566	4.61166
0.0937208	1.15426	4.60859
0.0941366	1.15286	4.60552
0.0945515	1.15146	4.60244
0.0949657	1.15006	4.59937
0.0953792	1.14866	4.5963
0.095792	1.14727	4.59322
0.096204	1.14587	4.59014
0.0966154	1.14448	4.58707
0.097026	1.14309	4.58399
0.097436	1.1417	4.58091
0.0978453	1.14031	4.57783
0.0982539	1.13892	4.57475
0.0986619	1.13753	4.57167
